Date,Text,Favorites,Retweets
2021-11-16 09:43:33+00:00,b'Navi Health Insurance \xe0\xa4\xa8\xe0\xa4\x8f \xe0\xa4\xac\xe0\xa5\x8d\xe0\xa4\xb2\xe0\xa5\x89\xe0\xa4\x97 \xe0\xa4\xae\xe0\xa5\x87\xe0\xa4\x82 \xe0\xa4\x86\xe0\xa4\xaa\xe0\xa4\x95\xe0\xa4\xbe \xe0\xa4\xb8\xe0\xa5\x8d\xe0\xa4\xb5\xe0\xa4\xbe\xe0\xa4\x97\xe0\xa4\xa4 \xe0\xa4\xb9\xe0\xa5\x88\xe0\xa5\xa4 \xe0\xa4\xb5\xe0\xa4\xb0\xe0\xa5\x8d\xe0\xa4\xa4\xe0\xa4\xae\xe0\xa4\xbe\xe0\xa4\xa8 \xe0\xa4\xae\xe0\xa5\x87\xe0\xa4\x82 \xe0\xa4\xb8\xe0\xa5\x8d\xe0\xa4\xb5\xe0\xa4\xbe\xe0\xa4\xb8\xe0\xa5\x8d\xe0\xa4\xa5\xe0\xa5\x8d\xe0\xa4\xaf \xe0\xa4\x95\xe0\xa5\x80 \xe0\xa4\xa6\xe0\xa5\x87\xe0\xa4\x96\xe0\xa4\xad\xe0\xa4\xbe\xe0\xa4\xb2 \xe0\xa4\x95\xe0\xa4\xb0\xe0\xa4\xa8\xe0\xa4\xbe \xe0\xa4\x8f\xe0\xa4\x95 \xe0\xa4\x85\xe0\xa4\xa4\xe0\xa5\x8d\xe0\xa4\xaf\xe0\xa4\x82\xe0\xa4\xa4 \xe0\xa4\x9a\xe0\xa5\x81\xe0\xa4\xa8\xe0\xa5\x8c\xe0\xa4\xa4\xe0\xa5\x80\xe0\xa4\xaa\xe0\xa5\x82\xe0\xa4\xb0\xe0\xa5\x8d\xe0\xa4\xa3 \xe0\xa4\x95\xe0\xa4\xbe\xe0\xa4\xb0\xe0\xa5\x8d\xe0\xa4\xaf\xe2\x80\xa6 https://t.co/WlZUGJBR2k',1,0
2021-11-16 09:43:30+00:00,b'\xe7\xa6\x8f\xe4\xba\x95\xe7\x9c\x8c\xe3\x80\x80\xe5\x8f\xa4\xe4\xbb\xa3\xef\xbd\x9e\xe8\xbf\x91\xe7\x8f\xbe\xe4\xbb\xa3\xe3\x81\xae\xe7\xb9\x94\xe6\xa9\x9f\xe3\x81\xae\xe6\xad\xb4\xe5\x8f\xb2\xe7\xb4\xb9\xe4\xbb\x8b\xe3\x80\x80\xe7\xa6\x8f\xe4\xba\x95\xe7\x9c\x8c\xe5\x8b\x9d\xe5\xb1\xb1\xe5\xb8\x82\xe3\x81\xab\xe8\xb3\x87\xe6\x96\x99\xe9\xa4\xa8\xe3\x82\xaa\xe3\x83\xbc\xe3\x83\x97\xe3\x83\xb3\xef\xbd\x9c\xe5\x8c\x97\xe9\x99\xb8\xe6\x96\xb0\xe5\xb9\xb9\xe7\xb7\x9a\xe3\x81\xa7\xe8\xa1\x8c\xe3\x81\x93\xe3\x81\x86\xef\xbc\x81\xe5\x8c\x97\xe9\x99\xb8\xe3\x83\xbb\xe4\xbf\xa1\xe8\xb6\x8a\xe8\xa6\xb3\xe5\x85\x89\xe3\x83\x8a\xe3\x83\x93 https://t.co/wCtvVflN0m',0,0
2021-11-16 09:43:13+00:00,b'\xe3\x81\xaa\xe3\x82\x86\xe3\x81\x9f\xe3\x81\x8f',0,0
2021-11-16 09:43:09+00:00,b'RT @ARGONAVIS_info: \xf0\x9f\x94\xa5\xe4\xba\x88\xe5\x91\x8a\xf0\x9f\x94\xa5\n\xe6\x98\x8e\xe6\x97\xa511\xe6\x9c\x8817\xe6\x97\xa5 (\xe6\xb0\xb4)21\xe6\x99\x82\xe3\x82\x88\xe3\x82\x8aYouTube\xe3\x81\xab\xe3\x81\xa6GYROAXIA\xe3\x80\x8c#\xe7\x81\xab\xe8\x8a\xb1\xe6\x95\xa3\xe3\x83\xab\xe3\x80\x8d\xe3\x81\xaeMV\xe3\x82\x92\xe5\x85\xac\xe9\x96\x8b\xe3\x81\x84\xe3\x81\x9f\xe3\x81\x97\xe3\x81\xbe\xe3\x81\x99\xe3\x80\x82\n\xe3\x83\x81\xe3\x83\xa3\xe3\x83\xb3\xe3\x83\x8d\xe3\x83\xab\xe7\x99\xbb\xe9\x8c\xb2\xe3\x82\x92\xe3\x81\x97\xe3\x81\xa6\xe3\x81\x8a\xe5\xbe\x85\xe3\x81\xa1\xe3\x81\x8f\xe3\x81\xa0\xe3\x81\x95\xe3\x81\x84\xf0\x9f\x90\x88\nhttps://t.co/oRCVCVxu8w https://t.co/NCZS\xe2\x80\xa6',0,1193
2021-11-16 09:43:07+00:00,b'@hele_navi cod mw\xe3\x81\x8b\xe3\x81\xa3\xe3\x81\xa6',0,0
2021-11-16 09:43:02+00:00,"b'\xe3\x80\x90\xe7\xa9\xb6\xe6\xa5\xb5\xe3\x81\xae\xe5\xaf\x9d\xe5\x8f\x96\xe3\x82\x89\xe3\x82\x8c\xe3\x82\xb9\xe3\x83\xaf\xe3\x83\x83\xe3\x83\x97 \xe6\xaf\x8d\xe5\xa8\x98\xe3\x83\x80\xe3\x83\x83\xe3\x83\x81\xe3\x83\xaf\xe3\x82\xa4\xe3\x83\x952\xef\xbc\x9c\xe7\xb5\x90\xe5\x9f\x8e\xe3\x81\xbf\xe3\x81\x95,\xe6\xb0\xb4\xe5\xb6\x8b\xe3\x81\x82\xe3\x81\x84\xef\xbc\x9e\xe3\x80\x91\xe3\x81\x93\xe3\x82\x8c\xe4\xbb\xa5\xe4\xb8\x8a\xe3\x81\xab\xe3\x81\xaa\xe3\x81\x84\xe6\x9c\x80\xe4\xb8\x8a\xe7\xb4\x9a\xe3\x81\xae\xe5\xaf\x9d\xe5\x8f\x96\xe3\x82\x89\xe3\x82\x8c\xe6\xb1\xba\xe5\xae\x9a\xe7\x89\x88\xef\xbc\x81\xef\xbc\x81\xe3\x81\xa8\xe3\x81\x82\xe3\x82\x8b\xe5\xae\xb6\xe6\x97\x8f\xe3\x81\xae\xe8\x87\xaa\xe5\xae\x85\xe3\x81\x8c\xe3\x80\x81https://t.co/nq6t7xAXmR\n-DUGA NAVI-'",0,0
2021-11-16 09:43:00+00:00,b'\xe8\xa7\xa3\xe7\xad\x94\xef\xbc\x9a\xef\xbc\xa3 \xe4\xb8\x8a\xe5\x8f\xb8\xe3\x81\xae\xe6\xb0\x8f\xe5\x90\x8d\xe3\x82\x92\xe6\x9b\xb8\xe3\x81\x8d\xe3\x80\x81\xe3\x81\x9d\xe3\x81\xae\xe5\xb7\xa6\xe6\xa8\xaa\xe4\xb8\x8b\xe3\x81\xab\xe3\x80\x8c\xe4\xbb\xa3\xe3\x80\x8d\xe3\x81\xa8\xe6\x9b\xb8\xe3\x81\x8f\n\xe4\xb8\x8a\xe5\x8f\xb8\xe3\x81\xae\xe4\xbb\xa3\xe7\x90\x86\xe3\x81\xa7\xe8\xa1\x8c\xe3\x81\x8f\xe5\xa0\xb4\xe5\x90\x88\xe3\x81\xab\xe3\x81\xaf\xe3\x80\x81\xe6\x9c\xac\xe4\xba\xba\xe3\x81\xae\xe5\x90\x8d\xe5\x89\x8d\xe3\x81\xaf\xe5\xbf\x85\xe8\xa6\x81\xe3\x81\x82\xe3\x82\x8a\xe3\x81\xbe\xe3\x81\x9b\xe3\x82\x93\xe3\x80\x82\n\xe3\x81\x9f\xe3\x81\xa0\xe3\x81\x97\xe3\x80\x81\xe4\xb8\x8a\xe5\x8f\xb8\xe3\x81\xae\xe5\x90\x8d\xe5\x89\x8d\xe3\x81\xa0\xe3\x81\x91\xe3\x82\x92\xe8\xa8\x98\xe5\x85\xa5\xe3\x81\x97\xe3\x81\x9f\xe3\x81\xae\xe3\x81\xa7\xe3\x81\xaf\xe4\xb8\x8a\xe5\x8f\xb8\xe3\x81\x8c\xe5\x8f\x82\xe5\x88\x97\xe3\x81\x97\xe3\x81\x9f\xe3\x81\x93\xe3\x81\xa8\xe3\x81\xab\xe3\x81\xaa\xe3\x81\xa3\xe3\x81\xa6\xe3\x81\x97\xe3\x81\xbe\xe3\x81\x84\xe3\x81\xbe\xe3\x81\x99\xe3\x81\xae\xe3\x81\xa7\xe3\x80\x81(\xe4\xbb\xa3)\xe3\x81\xa8\xe8\xa8\x98\xe5\x85\xa5\xe3\x81\x99\xe3\x82\x8b\xe3\x81\x93\xe3\x81\xa8\xe3\x82\x92\xe5\xbf\x98\xe3\x82\x8c\xe3\x81\x9a\xe3\x81\xab\xe2\x80\xa6 https://t.co/82pAPwKLLg',0,0
2021-11-16 09:42:49+00:00,b'\xe3\x80\x90\xe8\xa6\x8f\xe6\xa0\xbc\xe5\xa4\x96\xe3\x81\xae1000\xe5\x80\x8d\xe3\x81\x82\xe3\x82\x8b\xe3\x81\x9e\xe3\x80\x91200\xe4\xb8\x87\xe5\x86\x86\xe3\x81\xae\xe3\x82\xa8\xe3\x82\xa2\xe3\x83\x89\xe3\x83\xad\xe7\xb5\xa6\xe4\xbb\x98\xe9\x87\x91\xe7\xb6\x9a\xe5\x87\xba!!Metamask\xe3\x81\xa8Solanart\xe3\x81\xbe\xe3\x82\x82\xe3\x81\xaa\xe3\x81\x8f\xe9\x96\x8b\xe5\xa7\x8b\xe3\x80\x90\xe4\xbb\xae\xe6\x83\xb3\xe9\x80\x9a\xe8\xb2\xa8\xe3\x80\x91 https://t.co/rSz2Ft4093',1,0
2021-11-16 09:42:48+00:00,b'\xe3\x80\x8c\xe6\x81\x90\xe7\xab\x9c\xe5\xae\xb6\xe6\x97\x8f\xe3\x80\x8d\xe3\x81\xaf\xe6\x9c\x80\xe7\xb5\x82\xe5\x9b\x9e\xe3\x81\x8c\xe6\x81\x90\xe3\x82\x8d\xe3\x81\x97\xe3\x81\x84\xe3\x80\x82\n\n\xe4\xbb\x8a\xe3\x81\xaf\xe3\x81\xa9\xe3\x81\x93\xe3\x81\xa7\xe9\x85\x8d\xe4\xbf\xa1\xef\xbc\x9fNHK\xe3\x81\xa7\xe6\x94\xbe\xe9\x80\x81\xe3\x81\x95\xe3\x82\x8c\xe3\x81\xa6\xe3\x81\x84\xe3\x81\x9f\xe6\xb5\xb7\xe5\xa4\x96\xe3\x83\x89\xe3\x83\xa9\xe3\x83\x9e\xe9\x85\x8d\xe4\xbf\xa1\xe5\x85\x88\xe3\x81\xbe\xe3\x81\xa8\xe3\x82\x81\xef\xbc\x881990\xef\xbd\x9e1995\xef\xbc\x89 | \xe3\x82\xb3\xe3\x83\xa9\xe3\x83\xa0 | \xe6\xb5\xb7\xe5\xa4\x96\xe3\x83\x89\xe3\x83\xa9\xe3\x83\x9e | \xe6\xb5\xb7\xe5\xa4\x96\xe3\x83\x89\xe3\x83\xa9\xe3\x83\x9eNAVI https://t.co/j7zPhi1x6D',0,0
2021-11-16 09:42:44+00:00,b'I updated blog!!\nI wrote about Jpanese Shinkansen seies E4 Max.\nMax has two floors.\nMax is very big!\nPlease read it\xe2\x80\xa6 https://t.co/rhRDTvj6XW',0,0
